Index,Name,URL,Party Affiliation,Sentence Count,Positive Sentence Count,Negative Sentence Count,Achievements,Criticisms,Bias Score
1,Tommy Tuberville,https://en.wikipedia.org/wiki/Tommy_Tuberville,Republican,259,0,0,4,2,2
2,Katie Britt,https://en.wikipedia.org/wiki/Katie_Britt,Republican,141,0,0,0,1,-1
3,Lisa Murkowski,https://en.wikipedia.org/wiki/Lisa_Murkowski,Republican,162,0,0,0,2,-2
4,Dan Sullivan,https://en.wikipedia.org/wiki/Dan_Sullivan,Unknown,1,0,0,0,0,0
5,Kyrsten Sinema,https://en.wikipedia.org/wiki/Kyrsten_Sinema,Independent,363,0,0,1,1,0
6,Mark Kelly,https://en.wikipedia.org/wiki/Mark_Kelly,Democratic,253,0,0,3,0,3
7,John Boozman,https://en.wikipedia.org/wiki/John_Boozman,Republican,163,0,0,3,1,2
8,Tom Cotton,https://en.wikipedia.org/wiki/Tom_Cotton,Republican,401,0,1,3,5,-3
9,Alex Padilla,https://en.wikipedia.org/wiki/Alex_Padilla,Democratic,103,0,1,1,2,-2
10,Laphonza Butler,https://en.wikipedia.org/wiki/Laphonza_Butler,Democratic,57,0,0,0,0,0
11,Michael Bennet,https://en.wikipedia.org/wiki/Michael_Bennet,Democratic,206,0,0,0,0,0
12,John Hickenlooper,https://en.wikipedia.org/wiki/John_Hickenlooper,Democratic,203,0,0,0,0,0
13,Richard Blumenthal,https://en.wikipedia.org/wiki/Richard_Blumenthal,Democratic,363,0,0,9,4,5
14,Chris Murphy,https://en.wikipedia.org/wiki/Chris_Murphy,Democratic,245,1,0,3,0,4
15,Tom Carper,https://en.wikipedia.org/wiki/Tom_Carper,Democratic,248,0,0,1,0,1
16,Chris Coons,https://en.wikipedia.org/wiki/Chris_Coons,Democratic,211,1,0,5,2,4
17,Marco Rubio,https://en.wikipedia.org/wiki/Marco_Rubio,Republican,404,0,2,2,4,-4
18,Rick Scott,https://en.wikipedia.org/wiki/Rick_Scott,Republican,438,0,0,3,7,-4
19,Jon Ossoff,https://en.wikipedia.org/wiki/Jon_Ossoff,Democratic,238,0,1,0,1,-2
20,Raphael Warnock,https://en.wikipedia.org/wiki/Raphael_Warnock,Democratic,182,0,0,4,0,4
21,Brian Schatz,https://en.wikipedia.org/wiki/Brian_Schatz,Democratic,173,1,0,0,0,1
22,Mazie Hirono,https://en.wikipedia.org/wiki/Mazie_Hirono,Democratic,191,0,0,0,0,0
23,Mike Crapo,https://en.wikipedia.org/wiki/Mike_Crapo,Republican,118,0,0,2,0,2
24,Jim Risch,https://en.wikipedia.org/wiki/Jim_Risch,Republican,136,1,0,1,0,2
25,Dick Durbin,https://en.wikipedia.org/wiki/Dick_Durbin,Democratic,308,0,0,2,1,1
26,Tammy Duckworth,https://en.wikipedia.org/wiki/Tammy_Duckworth,Democratic,222,0,0,9,2,7
27,Todd Young,https://en.wikipedia.org/wiki/Todd_Young,Republican,165,0,0,1,0,1
28,Mike Braun,https://en.wikipedia.org/wiki/Mike_Braun,Republican,131,0,0,0,2,-2
29,Chuck Grassley,https://en.wikipedia.org/wiki/Chuck_Grassley,Republican,259,0,0,8,3,5
30,Joni Ernst,https://en.wikipedia.org/wiki/Joni_Ernst,Republican,262,0,0,4,5,-1
31,Jerry Moran,https://en.wikipedia.org/wiki/Jerry_Moran,Republican,154,0,0,2,1,1
32,Roger Marshall,https://en.wikipedia.org/wiki/Roger_Marshall,Republican,115,0,1,1,1,-1
33,Mitch McConnell,https://en.wikipedia.org/wiki/Mitch_McConnell,Republican,361,0,0,5,5,0
34,Rand Paul,https://en.wikipedia.org/wiki/Rand_Paul,Republican,506,0,0,4,6,-2
35,Bill Cassidy,https://en.wikipedia.org/wiki/Bill_Cassidy,Republican,146,0,0,2,0,2
36,John Kennedy,https://en.wikipedia.org/wiki/John_Kennedy,Democratic,872,1,1,11,0,11
37,Susan Collins,https://en.wikipedia.org/wiki/Susan_Collins,Republican,376,0,0,9,8,1
38,Angus King,https://en.wikipedia.org/wiki/Angus_King,Independent,309,1,0,1,0,2
39,Ben Cardin,https://en.wikipedia.org/wiki/Ben_Cardin,Democratic,215,0,0,6,0,6
40,Chris Van Hollen,https://en.wikipedia.org/wiki/Chris_Van_Hollen,Democratic,151,0,0,1,0,1
41,Elizabeth Warren,https://en.wikipedia.org/wiki/Elizabeth_Warren,Democratic,367,1,1,7,1,6
42,Ed Markey,https://en.wikipedia.org/wiki/Ed_Markey,Democratic,243,1,0,2,1,2
43,Debbie Stabenow,https://en.wikipedia.org/wiki/Debbie_Stabenow,Democratic,241,0,0,1,1,0
44,Gary Peters,https://en.wikipedia.org/wiki/Gary_Peters,Democratic,158,0,0,3,0,3
45,Amy Klobuchar,https://en.wikipedia.org/wiki/Amy_Klobuchar,Democratic,202,0,0,14,1,13
46,Tina Smith,https://en.wikipedia.org/wiki/Tina_Smith,Democratic,122,0,0,0,0,0
47,Roger Wicker,https://en.wikipedia.org/wiki/Roger_Wicker,Republican,220,0,0,2,0,2
48,Cindy Hyde-Smith,https://en.wikipedia.org/wiki/Cindy_Hyde-Smith,Republican,189,0,1,2,3,-2
49,Josh Hawley,https://en.wikipedia.org/wiki/Josh_Hawley,Republican,494,0,1,1,8,-8
50,Eric Schmitt,https://en.wikipedia.org/wiki/Eric_Schmitt,Republican,171,0,0,1,2,-1
51,Jon Tester,https://en.wikipedia.org/wiki/Jon_Tester,Democratic,197,1,1,0,0,0
52,Steve Daines,https://en.wikipedia.org/wiki/Steve_Daines,Republican,180,0,0,0,2,-2
53,Deb Fischer,https://en.wikipedia.org/wiki/Deb_Fischer,Republican,116,1,0,0,0,1
54,Pete Ricketts,https://en.wikipedia.org/wiki/Pete_Ricketts,Republican,210,0,0,1,1,0
55,Catherine Cortez Masto,https://en.wikipedia.org/wiki/Catherine_Cortez_Masto,Democratic,111,0,0,0,1,-1
56,Jacky Rosen,https://en.wikipedia.org/wiki/Jacky_Rosen,Democratic,85,0,0,0,0,0
57,Jeanne Shaheen,https://en.wikipedia.org/wiki/Jeanne_Shaheen,Democratic,160,0,1,0,0,-1
58,Maggie Hassan,https://en.wikipedia.org/wiki/Maggie_Hassan,Democratic,144,0,0,3,0,3
59,Bob Menendez,https://en.wikipedia.org/wiki/Bob_Menendez,Democratic,394,0,0,4,1,3
60,Cory Booker,https://en.wikipedia.org/wiki/Cory_Booker,Democratic,324,0,0,19,2,17
61,Martin Heinrich,https://en.wikipedia.org/wiki/Martin_Heinrich,Democratic,123,0,0,0,0,0
62,Ben Ray Luján,https://en.wikipedia.org/wiki/Ben_Ray_Luján,Democratic,96,0,0,0,0,0
63,Chuck Schumer,https://en.wikipedia.org/wiki/Chuck_Schumer,Democratic,485,0,2,8,7,-1
64,Kirsten Gillibrand,https://en.wikipedia.org/wiki/Kirsten_Gillibrand,Democratic,263,0,0,3,0,3
65,Thom Tillis,https://en.wikipedia.org/wiki/Thom_Tillis,Republican,183,0,0,1,0,1
66,Ted Budd,https://en.wikipedia.org/wiki/Ted_Budd,Republican,89,0,0,0,0,0
67,John Hoeven,https://en.wikipedia.org/wiki/John_Hoeven,Republican,79,0,0,1,0,1
68,Kevin Cramer,https://en.wikipedia.org/wiki/Kevin_Cramer,Republican,179,0,0,2,1,1
69,Sherrod Brown,https://en.wikipedia.org/wiki/Sherrod_Brown,Democratic,260,0,0,4,0,4
70,JD Vance,https://en.wikipedia.org/wiki/JD_Vance,Republican,163,1,0,2,2,1
71,James Lankford,https://en.wikipedia.org/wiki/James_Lankford,Republican,126,0,0,0,0,0
72,Markwayne Mullin,https://en.wikipedia.org/wiki/Markwayne_Mullin,Republican,144,0,0,0,2,-2
73,Ron Wyden,https://en.wikipedia.org/wiki/Ron_Wyden,Democratic,292,0,1,1,2,-2
74,Jeff Merkley,https://en.wikipedia.org/wiki/Jeff_Merkley,Democratic,241,0,0,0,0,0
75,Bob Casey Jr.,https://en.wikipedia.org/wiki/Bob_Casey_Jr.,Democratic,212,0,0,0,0,0
76,John Fetterman,https://en.wikipedia.org/wiki/John_Fetterman,Democratic,355,0,0,0,2,-2
77,Jack Reed,https://en.wikipedia.org/wiki/Jack_Reed,Unknown,1,0,0,0,0,0
78,Sheldon Whitehouse,https://en.wikipedia.org/wiki/Sheldon_Whitehouse,Democratic,134,0,0,0,4,-4
79,Lindsey Graham,https://en.wikipedia.org/wiki/Lindsey_Graham,Republican,564,1,1,3,5,-2
80,Tim Scott,https://en.wikipedia.org/wiki/Tim_Scott,Republican,233,1,1,0,0,0
81,John Thune,https://en.wikipedia.org/wiki/John_Thune,Republican,197,0,1,1,0,0
82,Mike Rounds,https://en.wikipedia.org/wiki/Mike_Rounds,Republican,97,0,0,1,1,0
83,Marsha Blackburn,https://en.wikipedia.org/wiki/Marsha_Blackburn,Republican,208,0,0,0,3,-3
84,Bill Hagerty,https://en.wikipedia.org/wiki/Bill_Hagerty,Republican,107,0,0,2,0,2
85,John Cornyn,https://en.wikipedia.org/wiki/John_Cornyn,Republican,244,0,0,0,1,-1
86,Ted Cruz,https://en.wikipedia.org/wiki/Ted_Cruz,Republican,583,0,3,4,2,-1
87,Mike Lee,https://en.wikipedia.org/wiki/Mike_Lee,Republican,290,0,1,2,2,-1
88,Mitt Romney,https://en.wikipedia.org/wiki/Mitt_Romney,Republican,712,1,1,4,9,-5
